date,timestamp,station,value
2025-06-02,2025-06-02 13:49:09,SPO-PT03083_00010_100,0.0367806702852249
2025-06-02,2025-06-02 13:49:09,SPO-PT03071_00010_100,0.0361813604831695
2025-06-02,2025-06-02 13:49:09,SP_08169009_6_48,
2025-06-02,2025-06-02 13:49:09,SP_08301004_6_48,
2025-06-02,2025-06-02 13:49:09,SP_08089005_6_48,
2025-06-02,2025-06-02 13:49:09,SP_15030027_6_48,0.036857146769762
2025-06-02,2025-06-02 13:49:09,SPO-PT03082_00010_100,0.0365892276167869
2025-06-02,2025-06-02 13:49:09,SP_30016020_6_48,0.0294028036296367
2025-06-02,2025-06-02 13:54:09,GB_SamplingPoint_61573,0.0344063900411129
2025-06-02,2025-06-02 13:54:09,GB_SamplingPoint_127,0.0342404916882514
2025-06-02,2025-06-02 13:54:09,GB_SamplingPoint_107,0.0366268455982208
2025-06-02,2025-06-02 13:54:09,GB_SamplingPoint_205,0.0304473619908094
2025-06-02,2025-06-02 13:54:09,GB_SamplingPoint_112,0.0384120978415012
2025-06-02,2025-06-02 13:54:09,SPO-FR04055_10,
2025-06-03,2025-06-03 00:19:09,SPO-EE0018A_00010_100,
2025-06-03,2025-06-03 00:24:09,SPO-DK0045A_00010_100,
2025-06-03,2025-06-03 01:59:09,SPO-EE0018A_00010_100,
2025-06-03,2025-06-03 02:04:09,GB_SamplingPoint_205,
2025-06-03,2025-06-03 02:04:09,SPO-DK0045A_00010_100,
2025-06-03,2025-06-03 02:04:09,SPO-LU0101A_00010_100,
2025-06-03,2025-06-03 02:04:09,GB_SamplingPoint_61573,
2025-06-03,2025-06-03 02:04:09,GB_SamplingPoint_107,
2025-06-03,2025-06-03 02:04:09,SPO-FR04055_10,
2025-06-03,2025-06-03 02:04:09,GB_SamplingPoint_127,
2025-06-03,2025-06-03 02:04:09,GB_SamplingPoint_112,
2025-06-03,2025-06-03 03:44:09,GB_SamplingPoint_61573,
2025-06-03,2025-06-03 03:44:09,GB_SamplingPoint_107,
2025-06-03,2025-06-03 03:44:09,GB_SamplingPoint_205,
2025-06-03,2025-06-03 03:44:09,GB_SamplingPoint_112,
2025-06-03,2025-06-03 10:14:09,SPO-EE0018A_00010_100,0.0303218588232994
2025-06-03,2025-06-03 11:49:09,SP_08169009_6_48,
2025-06-03,2025-06-03 11:49:09,SP_08019054_6_48,
2025-06-03,2025-06-03 11:49:09,SP_08019057_6_48,
2025-06-03,2025-06-03 11:49:09,SPO-CH0010A_00010_500,0.0313177965581417
2025-06-03,2025-06-03 11:49:09,SPO-GR0031A_00010_131,0.0368129312992095
2025-06-03,2025-06-03 11:49:09,SPO-CH0005A_00010_502,0.033388901501894
2025-06-03,2025-06-03 11:49:09,SP_08301004_6_48,
2025-06-03,2025-06-03 11:49:09,SPO-FR03043_10,0.0306337717920541
2025-06-03,2025-06-03 11:49:09,SPO-GR0022A_00010_101,0.0333530455827713
2025-06-03,2025-06-03 11:54:09,GB_SamplingPoint_205,0.0560948401689529
2025-06-03,2025-06-03 11:54:09,GB_SamplingPoint_112,0.0477607101202011
2025-06-03,2025-06-03 11:54:09,SPO-EE0018A_00010_100,0.0306875202804803
2025-06-03,2025-06-03 11:54:09,SPO-FR04055_10,0.045404527336359
2025-06-03,2025-06-03 11:54:09,SPO-DK0045A_00010_100,0.0414776466786861
2025-06-03,2025-06-03 11:54:09,SPO-LU0101A_00010_100,0.0373500026762485
2025-06-03,2025-06-03 11:54:09,GB_SamplingPoint_127,0.0494733825325965
2025-06-03,2025-06-03 11:54:09,GB_SamplingPoint_61573,0.0430094897747039
2025-06-03,2025-06-03 11:54:09,GB_SamplingPoint_107,0.0438424423336982
2025-06-03,2025-06-03 13:29:09,SPO-FR03043_10,0.0274215452373027
2025-06-03,2025-06-03 13:29:09,SP_28092005_6_48,0.028356060385704
2025-06-03,2025-06-03 13:29:09,SP_30016020_6_48,0.0314298532903194
2025-06-03,2025-06-03 13:29:09,SP_08169009_6_48,0.0304727051407098
2025-06-03,2025-06-03 13:29:09,SP_28079035_6_48,0.0306752510368824
2025-06-03,2025-06-03 13:29:09,SPO-PT03083_00010_100,0.063407115638256
2025-06-03,2025-06-03 13:29:09,SP_08019057_6_48,0.0320808328688144
2025-06-03,2025-06-03 13:29:09,SP_15030027_6_48,0.0511903390288353
2025-06-03,2025-06-03 13:29:09,SP_08019054_6_48,
2025-06-03,2025-06-03 13:29:09,SP_08089005_6_48,0.0304727051407098
2025-06-03,2025-06-03 13:29:09,SPO-PT03082_00010_100,0.0672708377242088
2025-06-03,2025-06-03 13:29:09,SPO-PT03071_00010_100,0.0661784633994102
2025-06-03,2025-06-03 13:29:09,SP_08301004_6_48,0.0304727051407098
2025-06-03,2025-06-03 13:34:09,GB_SamplingPoint_112,0.047411423176527
2025-06-03,2025-06-03 13:34:09,GB_SamplingPoint_107,0.0493385605514049
2025-06-03,2025-06-03 13:34:09,SPO-FR04055_10,0.0562449507415294
2025-06-03,2025-06-03 13:34:09,SPO-LU0101A_00010_100,0.0347135663032531
2025-06-03,2025-06-03 13:34:09,SPO-CH0010A_00010_500,
2025-06-03,2025-06-03 13:34:09,GB_SamplingPoint_205,
2025-06-03,2025-06-03 13:34:09,GB_SamplingPoint_127,0.0466533228754997
2025-06-03,2025-06-03 13:34:09,GB_SamplingPoint_61573,0.0393243320286273
2025-06-04,2025-06-04 00:04:09,SPO-EE0018A_00010_100,
2025-06-04,2025-06-04 01:44:09,GB_SamplingPoint_107,
2025-06-04,2025-06-04 01:44:09,GB_SamplingPoint_61573,
2025-06-04,2025-06-04 01:44:09,SPO-EE0018A_00010_100,
2025-06-04,2025-06-04 01:44:09,GB_SamplingPoint_112,
2025-06-04,2025-06-04 01:44:09,GB_SamplingPoint_127,
2025-06-04,2025-06-04 01:44:09,SPO-LU0101A_00010_100,
2025-06-04,2025-06-04 01:44:09,GB_SamplingPoint_205,
2025-06-04,2025-06-04 01:44:09,SPO-DK0045A_00010_100,
2025-06-04,2025-06-04 03:24:09,GB_SamplingPoint_205,
2025-06-04,2025-06-04 03:24:09,GB_SamplingPoint_61573,
2025-06-04,2025-06-04 03:24:09,GB_SamplingPoint_112,
2025-06-04,2025-06-04 03:24:09,GB_SamplingPoint_127,
2025-06-04,2025-06-04 09:54:09,SPO-EE0018A_00010_100,0.0510086081922054
2025-06-04,2025-06-04 11:29:09,SPO-GR0022A_00010_101,0.0279069449752569
2025-06-04,2025-06-04 11:29:09,SPO-GR0031A_00010_131,0.0276542957872152
2025-06-04,2025-06-04 11:34:09,GB_SamplingPoint_61573,0.0256467554718256
2025-06-04,2025-06-04 11:34:09,SPO-CH0005A_00010_502,
2025-06-04,2025-06-04 11:34:09,SPO-CH0010A_00010_500,
2025-06-04,2025-06-04 11:34:09,GB_SamplingPoint_205,0.0538266934454441
2025-06-04,2025-06-04 11:34:09,SPO-DK0045A_00010_100,0.0445078834891319
2025-06-04,2025-06-04 11:34:09,SPO-LU0101A_00010_100,0.0382936932146549
2025-06-04,2025-06-04 11:34:09,SPO-FR04055_10,0.0394519232213497
2025-06-04,2025-06-04 11:34:09,GB_SamplingPoint_127,0.0613857731223106
2025-06-04,2025-06-04 11:34:09,SPO-EE0018A_00010_100,0.0409096293151378
2025-06-04,2025-06-04 13:09:09,SPO-PT03071_00010_100,0.0331931486725807
2025-06-04,2025-06-04 13:09:09,SPO-PT03082_00010_100,0.0331931486725807
2025-06-04,2025-06-04 13:09:09,SPO-PT03083_00010_100,0.0344235971570014
2025-06-04,2025-06-04 13:09:09,SP_08089005_6_48,0.0377620421350002
2025-06-04,2025-06-04 13:09:09,SP_08169009_6_48,0.0387365445494651
2025-06-04,2025-06-04 13:09:09,SP_08019054_6_48,0.0429203622043132
2025-06-04,2025-06-04 13:09:09,SP_30016020_6_48,0.0473377667367458
2025-06-04,2025-06-04 13:09:09,SP_08019057_6_48,0.0382404811680316
2025-06-04,2025-06-04 13:09:09,SP_28092005_6_48,0.0332429856061935
2025-06-04,2025-06-04 13:09:09,SP_08301004_6_48,0.0377620421350002
2025-06-04,2025-06-04 13:09:09,SP_28079035_6_48,0.0365535020828247
2025-06-04,2025-06-04 13:14:09,SP_08301004_6_48,
2025-06-04,2025-06-04 13:14:09,SPO-FR03043_10,0.0464422516524791
2025-06-04,2025-06-04 13:14:09,SPO-PT03071_00010_100,0.0331931486725807
2025-06-04,2025-06-04 13:14:09,SPO-PT03082_00010_100,0.0331931486725807
2025-06-04,2025-06-04 13:14:09,SP_28092005_6_48,0.0338999107480049
2025-06-04,2025-06-04 13:14:09,SP_08169009_6_48,0.0382404811680316
2025-06-04,2025-06-04 13:14:09,SP_15030027_6_48,0.0370912328362464
